CLUSTER-28{size: 76, centroid: 79}
CLUSTER-29{size: 44, centroid: 80}
CLUSTER-30{size: 62, centroid: 81}
CLUSTER-31{size: 24, centroid: 82}
CLUSTER-32{size: 3, centroid: 83}
CLUSTER-33{size: 71, centroid: 84}
CLUSTER-34{size: 72, centroid: 85}
CLUSTER-35{size: 1, centroid: 86}
CLUSTER-36{size: 53, centroid: 87}
CLUSTER-37{size: 18, centroid: 88}
CLUSTER-38{size: 47, centroid: 89}
CLUSTER-39{size: 88, centroid: 90}
CLUSTER-40{size: 68, centroid: 91}
CLUSTER-41{size: 107, centroid: 92}
CLUSTER-42{size: 6, centroid: 93}
CLUSTER-43{size: 45, centroid: 94}
CLUSTER-44{size: 46, centroid: 95}
CLUSTER-45{size: 71, centroid: 96}
CLUSTER-46{size: 45, centroid: 97}
CLUSTER-47{size: 39, centroid: 98}
CLUSTER-48{size: 98, centroid: 99}
CLUSTER-49{size: 2157, centroid: 100}
